netid,number,term,grade
anp37,5720,2018 Fall Term,75
akh47,9781,2019 Spring Term,86
abw36,3511,2019 Spring Term,90
akh21,25029,2019 Spring Term,83
abs63,8322,2018 Spring Term,90
abg28,23230,2019 Spring Term,78
act40,25659,2019 Spring Term,94
ajt36,2523,2018 Fall Term,90
ajh98,23214,2017 Fall Term,87
agn21,4278,2017 Fall Term,83
awm28,7528,2018 Spring Term,75
ale26,23278,2018 Spring Term,90
apw10,22675,2018 Fall Term,80
arm85,19765,2017 Fall Term,89
acf35,7276,2018 Spring Term,80
awk11,23214,2017 Fall Term,87
acd41,16428,2018 Fall Term,97
alf32,22766,2018 Spring Term,77
agr25,8322,2017 Fall Term,84
ajj22,4417,2018 Spring Term,84
ach81,2586,2019 Spring Term,99
amr82,2974,2018 Fall Term,82
aep55,5836,2018 Spring Term,75
amr88,7596,2017 Fall Term,77
ajt44,7528,2017 Fall Term,97
alr80,6792,2018 Spring Term,87
ans81,1397,2019 Spring Term,79
agk17,14779,2018 Spring Term,92
ars94,4925,2018 Fall Term,83
amt75,3815,2018 Fall Term,83
aew60,5718,2019 Spring Term,79
ajp77,81,2017 Fall Term,88
ank26,18102,2017 Fall Term,76
aos11,15531,2018 Fall Term,90
ajg67,1853,2018 Spring Term,95
apw10,6609,2018 Spring Term,87
asf47,8048,2017 Fall Term,97
amt43,21369,2019 Spring Term,75
alj39,23288,2017 Fall Term,82
aww30,82,2017 Fall Term,76
amv33,5237,2018 Fall Term,83
aja50,23501,2018 Spring Term,79
ajc74,17515,2018 Fall Term,88
anc54,8062,2018 Spring Term,80
acy14,17515,2019 Spring Term,81
baa26,25659,2019 Spring Term,90
ajw84,20770,2018 Fall Term,76
aea36,24138,2017 Fall Term,94
aps55,25105,2018 Spring Term,78
ach79,22965,2018 Fall Term,77
adr38,9781,2019 Spring Term,82
adm60,7975,2018 Spring Term,93
anp36,18808,2018 Spring Term,90
act40,16850,2017 Fall Term,82
awm27,7872,2018 Fall Term,93
adc81,6609,2018 Spring Term,95
acr54,5033,2018 Fall Term,81
akb54,20138,2017 Fall Term,85
awg17,7872,2017 Fall Term,78
alr80,19482,2018 Fall Term,87
acm76,3513,2018 Spring Term,86
asf47,25279,2018 Spring Term,77
asd26,21524,2018 Spring Term,88
atw20,20324,2018 Fall Term,99
acm92,7979,2017 Fall Term,84
arc71,1424,2019 Spring Term,87
alt51,18276,2019 Spring Term,90
ate10,15348,2018 Fall Term,85
ala21,21706,2017 Fall Term,91
amt58,9150,2019 Spring Term,90
arh86,10030,2017 Fall Term,81
aps55,16219,2018 Fall Term,79
avn11,17911,2018 Fall Term,77
aey11,5687,2018 Fall Term,95
asc69,13958,2018 Fall Term,85
akl31,23540,2017 Fall Term,96
ahr16,9150,2018 Spring Term,86
apf18,24410,2018 Spring Term,79
act39,6495,2017 Fall Term,93
agc33,24349,2019 Spring Term,88
aac20,20344,2017 Fall Term,83
aja33,25322,2018 Fall Term,79
alj41,24349,2019 Spring Term,87
ash70,2313,2019 Spring Term,97
ahf11,19765,2019 Spring Term,84
atf24,1876,2018 Fall Term,79
agr25,20823,2018 Fall Term,87
avn11,21852,2018 Spring Term,83
akm55,22156,2018 Fall Term,95
agp15,21550,2017 Fall Term,92
ajr91,81,2018 Spring Term,90
aml87,5800,2017 Fall Term,90
anr40,9131,2018 Spring Term,99
ajl82,5836,2018 Fall Term,85
akh21,20823,2017 Fall Term,84
anw36,18963,2019 Spring Term,94
aej21,20819,2018 Fall Term,92
alw93,4773,2018 Fall Term,77
aja34,14779,2018 Spring Term,99
acs80,20138,2018 Fall Term,92
abd21,2523,2019 Spring Term,88
aps54,22918,2019 Spring Term,92
akg38,22156,2017 Fall Term,88
aec58,24138,2017 Fall Term,97
atp24,24656,2019 Spring Term,81
acb84,1461,2018 Spring Term,88
aar25,23922,2019 Spring Term,79
ahl24,20953,2019 Spring Term,85
awg13,24915,2018 Fall Term,76
akh49,23130,2018 Fall Term,83
aaf21,22914,2019 Spring Term,81
ajk79,22156,2018 Fall Term,95
acd41,20819,2018 Fall Term,76
aam33,23278,2018 Fall Term,79
asc57,1004,2018 Fall Term,90
ags40,25279,2019 Spring Term,77
arg44,12571,2018 Spring Term,81
ahk23,6495,2018 Fall Term,79
aem99,23520,2019 Spring Term,87
ast30,25707,2019 Spring Term,91
ajw50,17911,2018 Fall Term,80
afp15,20906,2019 Spring Term,84
ags42,14970,2019 Spring Term,89
anm46,2945,2019 Spring Term,77
akh40,8062,2017 Fall Term,95
afk11,17498,2017 Fall Term,78
ask59,25105,2018 Spring Term,91
bad29,3845,2018 Spring Term,93
ask61,12940,2019 Spring Term,88
asb81,19142,2018 Spring Term,99
ajt44,25279,2018 Spring Term,97
arw59,16389,2017 Fall Term,85
arw59,15531,2018 Fall Term,86
aak29,22942,2019 Spring Term,83
att11,6875,2018 Fall Term,76
akg36,3513,2018 Fall Term,75
alw96,1403,2018 Fall Term,83
alj48,5028,2018 Spring Term,78
akg36,5720,2018 Fall Term,92
acw63,4417,2019 Spring Term,98
aac45,22914,2017 Fall Term,77
agc26,20819,2018 Fall Term,93
avb11,7697,2017 Fall Term,97
amg89,20324,2018 Spring Term,88
akh21,529,2018 Fall Term,75
aam85,22905,2018 Spring Term,95
arc88,19765,2018 Spring Term,85
ach49,7453,2018 Fall Term,86
anc54,16219,2017 Fall Term,79
agc26,19765,2018 Spring Term,76
ahl24,25098,2018 Spring Term,90
aro19,3740,2017 Fall Term,96
agr18,2523,2019 Spring Term,91
aln25,7975,2019 Spring Term,82
asw57,529,2019 Spring Term,88
ajp82,23539,2017 Fall Term,95
atb45,24426,2018 Spring Term,98
ark44,17499,2018 Spring Term,77
ajf37,20188,2018 Fall Term,79
asj19,1399,2018 Fall Term,88
ars91,17515,2018 Fall Term,84
atb28,5826,2017 Fall Term,88
aey11,15348,2018 Fall Term,96
acw63,20953,2018 Spring Term,78
anb57,20325,2018 Fall Term,85
awm33,15263,2018 Fall Term,99
adw42,19923,2018 Spring Term,76
aam86,2586,2019 Spring Term,77
asb93,13670,2017 Fall Term,85
anc52,25557,2019 Spring Term,99
all78,20770,2018 Fall Term,96
ahn15,24432,2018 Spring Term,84
aec58,17911,2018 Fall Term,81
ach79,4766,2019 Spring Term,87
aak48,210,2019 Spring Term,86
ajc74,1465,2018 Spring Term,81
afk11,19913,2019 Spring Term,82
adc81,4925,2018 Fall Term,75
abr26,22912,2019 Spring Term,92
amv34,22307,2019 Spring Term,82
alj51,4062,2018 Spring Term,95
agn21,2586,2018 Fall Term,77
ajt48,18277,2018 Fall Term,88
apf23,7872,2017 Fall Term,85
acd41,25029,2019 Spring Term,93
alw89,2586,2018 Fall Term,94
asp44,1004,2017 Fall Term,88
asv17,24914,2018 Spring Term,82
ana24,7019,2017 Fall Term,88
akh19,17428,2019 Spring Term,92
awh20,24138,2017 Fall Term,92
apw28,7269,2019 Spring Term,83
adf31,15348,2017 Fall Term,98
amr81,25279,2019 Spring Term,86
awj12,964,2017 Fall Term,93
ads42,14447,2018 Fall Term,99
aww30,5020,2017 Fall Term,99
adw54,16881,2018 Spring Term,93
akh11,22942,2019 Spring Term,94
akn13,21967,2018 Spring Term,76
agb30,24138,2017 Fall Term,75
ast29,3815,2018 Fall Term,96
aem82,23893,2019 Spring Term,96
aks77,2586,2018 Spring Term,87
agr18,25220,2018 Fall Term,91
aga16,2046,2019 Spring Term,95
amj55,19135,2019 Spring Term,93
agw28,13815,2019 Spring Term,98
ale26,82,2018 Fall Term,81
ald57,19023,2018 Spring Term,76
ajl88,20797,2018 Fall Term,86
arp69,19765,2018 Spring Term,77
ajt47,24432,2018 Spring Term,90
akk36,18963,2018 Spring Term,96
aee16,13857,2017 Fall Term,89
aac20,9576,2018 Fall Term,80
ajj22,4422,2019 Spring Term,99
atg18,13180,2018 Fall Term,87
atp24,25557,2019 Spring Term,85
akk45,19135,2019 Spring Term,82
anc48,18029,2018 Fall Term,92
ans83,7529,2019 Spring Term,82
aac47,8322,2018 Fall Term,82
aia10,3511,2019 Spring Term,98
alc91,3824,2018 Fall Term,99
asm74,20138,2018 Fall Term,78
abm43,14779,2018 Spring Term,84
adp33,3845,2017 Fall Term,78
aam84,23893,2019 Spring Term,99
akh40,22918,2017 Fall Term,78
aab83,5836,2017 Fall Term,98
aab79,4417,2019 Spring Term,81
att11,5901,2017 Fall Term,77
arc71,13594,2018 Fall Term,98
atp24,8322,2019 Spring Term,91
alh93,19765,2017 Fall Term,95
akw30,8769,2018 Spring Term,78
ayt10,22942,2019 Spring Term,78
amt75,16955,2017 Fall Term,84
ajt44,18235,2018 Spring Term,77
acs89,23123,2018 Fall Term,95
ach55,19765,2019 Spring Term,80
ahc12,23338,2019 Spring Term,96
asv13,22906,2018 Fall Term,89
art40,2523,2017 Fall Term,92
aam79,15348,2019 Spring Term,96
act39,12979,2018 Fall Term,78
aps44,24395,2019 Spring Term,88
acc69,22329,2018 Spring Term,86
aem82,210,2018 Fall Term,90
ald67,6298,2017 Fall Term,93
atd25,12979,2017 Fall Term,97
aks77,17410,2017 Fall Term,82
asp44,21526,2018 Spring Term,91
aee16,4062,2019 Spring Term,97
aww30,12640,2018 Spring Term,91
aag44,23232,2018 Fall Term,85
abb10,19640,2018 Fall Term,99
aga16,15348,2018 Spring Term,78
adn22,4278,2017 Fall Term,95
afp15,5027,2019 Spring Term,88
acl43,21143,2018 Fall Term,80
ajr91,7019,2018 Fall Term,79
ajg76,4417,2019 Spring Term,86
amw77,1465,2018 Spring Term,83
aen13,15531,2017 Fall Term,93
arh66,22965,2017 Fall Term,91
ajf46,23123,2018 Fall Term,82
abm43,24825,2018 Fall Term,82
aep55,15842,2017 Fall Term,82
ark45,10022,2019 Spring Term,80
akh36,23540,2018 Fall Term,81
amt58,24349,2017 Fall Term,81
awm20,12640,2019 Spring Term,85
agb44,4417,2019 Spring Term,78
ado21,15230,2018 Spring Term,93
bac40,7884,2017 Fall Term,90
alw96,24262,2018 Fall Term,87
acm97,10155,2018 Fall Term,77
acm61,5901,2018 Fall Term,86
bad16,13076,2018 Spring Term,80
aos11,23540,2018 Fall Term,92
and36,2759,2018 Fall Term,92
alc91,14779,2018 Spring Term,95
adm66,13594,2017 Fall Term,93
ash70,17124,2018 Fall Term,84
aak44,15531,2018 Spring Term,93
ama90,1465,2017 Fall Term,92
asc57,10977,2018 Spring Term,91
agb30,22307,2019 Spring Term,94
anc48,19374,2017 Fall Term,85
ajw76,19765,2018 Spring Term,93
arw58,20138,2019 Spring Term,88
akn18,17806,2019 Spring Term,79
aro19,14567,2018 Fall Term,97
aag43,6875,2018 Spring Term,96
ajl62,20818,2018 Fall Term,99
arb71,18276,2019 Spring Term,89
bac33,19400,2018 Fall Term,88
ajc94,24372,2018 Spring Term,81
abb50,9781,2018 Fall Term,95
atw20,23876,2019 Spring Term,82
aml87,17124,2017 Fall Term,75
aan18,8322,2019 Spring Term,90
aey11,24372,2018 Spring Term,80
akh40,23529,2019 Spring Term,84
abc52,15334,2018 Spring Term,92
avp21,12978,2019 Spring Term,83
akn18,20130,2018 Fall Term,88
amt58,513,2018 Spring Term,76
arc88,23893,2019 Spring Term,84
akh49,7507,2018 Fall Term,99
ajp78,22914,2017 Fall Term,75
anl31,7528,2019 Spring Term,95
atc31,24576,2018 Fall Term,76
ace28,4278,2018 Spring Term,81
amm85,1461,2018 Spring Term,76
abr39,82,2019 Spring Term,77
aer51,7692,2018 Spring Term,94
atc31,13956,2018 Fall Term,80
ark44,20797,2017 Fall Term,88
agc31,22156,2018 Fall Term,82
atg18,1461,2018 Spring Term,95
akh48,2046,2019 Spring Term,77
ajl70,22914,2019 Spring Term,95
atp24,23133,2017 Fall Term,79
alk43,1403,2018 Fall Term,81
aak43,7694,2018 Spring Term,80
atg22,1461,2019 Spring Term,79
amt58,7453,2019 Spring Term,88
ajf40,5029,2019 Spring Term,97
aps54,22156,2018 Fall Term,89
amg89,2315,2018 Spring Term,94
ajp82,22918,2017 Fall Term,92
ama90,24349,2019 Spring Term,76
aec53,1860,2018 Spring Term,79
ads99,23683,2018 Fall Term,81
anr33,12571,2018 Spring Term,81
acg58,10020,2018 Fall Term,95
arm85,22965,2017 Fall Term,85
ash75,5720,2017 Fall Term,94
anp37,20357,2018 Spring Term,86
ajp73,7906,2018 Fall Term,81
abe13,20344,2017 Fall Term,97
aww29,16428,2018 Fall Term,82
adb76,12640,2018 Spring Term,98
asv13,5030,2018 Spring Term,76
aek43,3752,2018 Spring Term,96
ame50,13076,2017 Fall Term,85
ach45,13957,2018 Spring Term,91
alh67,20324,2017 Fall Term,89
akk42,17428,2019 Spring Term,89
baa26,64,2018 Fall Term,95
acn12,14567,2017 Fall Term,85
aam66,13857,2019 Spring Term,97
asf25,22215,2017 Fall Term,94
abr39,5904,2018 Fall Term,85
akn13,23520,2018 Fall Term,87
ado12,24656,2019 Spring Term,77
acm76,25188,2018 Fall Term,88
akg36,4062,2017 Fall Term,94
aaf19,8769,2019 Spring Term,84
aef37,10155,2017 Fall Term,90
akh36,3033,2018 Spring Term,89
aml88,19913,2017 Fall Term,94
akd35,8769,2019 Spring Term,78
akn18,1860,2018 Spring Term,93
ate10,2586,2018 Fall Term,79
ajn24,19023,2018 Spring Term,86
agd18,8062,2017 Fall Term,77
atb45,2046,2018 Fall Term,92
anb65,25557,2019 Spring Term,87
abf20,2945,2018 Fall Term,82
aak26,3033,2019 Spring Term,94
abs76,22156,2018 Fall Term,84
abw53,13594,2018 Fall Term,81
asb94,21550,2017 Fall Term,91
akt21,1406,2019 Spring Term,88
asa57,1004,2018 Spring Term,89
and36,5902,2018 Fall Term,81
aaj23,9781,2018 Fall Term,90
adp32,24349,2017 Fall Term,86
att11,22675,2017 Fall Term,84
ajp80,25328,2018 Fall Term,94
asc57,16850,2018 Fall Term,96
ack42,4771,2019 Spring Term,91
aln18,7980,2018 Spring Term,75
agp11,23658,2019 Spring Term,96
acs98,1465,2017 Fall Term,79
akk46,1004,2018 Fall Term,79
ajg67,14315,2018 Spring Term,82
aos12,24432,2018 Fall Term,88
ach44,19023,2017 Fall Term,77
acj13,14315,2018 Spring Term,78
asf47,24915,2018 Spring Term,85
agw24,16221,2019 Spring Term,94
aah41,23299,2017 Fall Term,85
agp16,7979,2017 Fall Term,91
agh22,19913,2017 Fall Term,77
aks64,20776,2017 Fall Term,81
acf35,22906,2017 Fall Term,92
alw79,6609,2018 Fall Term,97
ajk74,23651,2019 Spring Term,82
aac20,6792,2019 Spring Term,83
acv13,15228,2018 Spring Term,90
arb71,24372,2018 Spring Term,86
akj30,12977,2017 Fall Term,75
aks77,5720,2018 Fall Term,81
ahs50,14567,2018 Spring Term,96
amr68,22912,2018 Spring Term,78
aew53,6793,2018 Spring Term,75
ahr16,1397,2018 Spring Term,80
adj23,1406,2019 Spring Term,93
aer51,8766,2018 Spring Term,97
ajk41,9150,2019 Spring Term,89
asr35,24656,2019 Spring Term,87
afk11,21852,2017 Fall Term,92
bad16,22918,2018 Fall Term,87
aps52,5020,2018 Fall Term,82
ats41,15262,2017 Fall Term,78
ajf46,8062,2019 Spring Term,79
act48,964,2017 Fall Term,76
aam62,5826,2018 Fall Term,84
aak42,5718,2017 Fall Term,98
amj62,25188,2018 Fall Term,75
apl18,4422,2018 Spring Term,86
apk18,22215,2018 Fall Term,76
ado21,21080,2018 Spring Term,88
akk36,22805,2017 Fall Term,90
acv13,24704,2018 Fall Term,77
akn13,4278,2017 Fall Term,86
akm55,8769,2019 Spring Term,92
aak42,7529,2018 Fall Term,85
acv20,23520,2018 Fall Term,80
ajf40,23278,2018 Fall Term,99
acs89,24432,2019 Spring Term,85
alg68,4764,2018 Spring Term,91
amo34,22534,2019 Spring Term,85
anb57,529,2018 Fall Term,88
anm46,7884,2018 Fall Term,84
arj37,24578,2019 Spring Term,83
apk21,17124,2018 Fall Term,91
adw66,23957,2018 Fall Term,79
acs80,64,2018 Fall Term,90
ajt48,21706,2017 Fall Term,87
ajd57,23658,2017 Fall Term,96
ask59,4932,2017 Fall Term,96
ali11,23204,2017 Fall Term,79
akd33,4417,2017 Fall Term,87
agm57,2315,2018 Spring Term,97
ach81,24914,2018 Spring Term,95
alh93,25155,2019 Spring Term,84
atl18,22912,2019 Spring Term,76
asm79,22805,2018 Fall Term,76
ash70,4764,2018 Spring Term,86
aar26,12638,2018 Fall Term,75
abn15,20823,2018 Fall Term,97
akl41,23957,2017 Fall Term,80
ana25,8322,2019 Spring Term,92
aec41,9576,2018 Fall Term,87
alw97,17498,2018 Fall Term,87
akk46,20819,2018 Fall Term,84
aab75,24135,2017 Fall Term,95
anb53,23539,2018 Fall Term,80
amw77,17498,2018 Spring Term,94
art40,20823,2018 Fall Term,81
adm66,4278,2018 Spring Term,86
agh22,7529,2019 Spring Term,93
asb81,17911,2018 Fall Term,88
aks94,7253,2017 Fall Term,75
anr41,16428,2018 Fall Term,80
ath28,15263,2018 Spring Term,87
aal35,22906,2018 Fall Term,88
agc35,19765,2017 Fall Term,98
ajk41,20188,2017 Fall Term,86
abs53,17806,2017 Fall Term,75
akw38,19765,2019 Spring Term,84
acv13,7453,2019 Spring Term,78
agd26,4062,2019 Spring Term,79
akl32,13857,2018 Fall Term,75
aag43,5836,2018 Fall Term,80
abd30,6495,2017 Fall Term,94
anc54,13046,2019 Spring Term,89
aer51,20770,2018 Fall Term,93
aaw44,24464,2019 Spring Term,80
abb54,18963,2017 Fall Term,94
akh11,8048,2017 Fall Term,78
aad32,2523,2019 Spring Term,95
asd41,20357,2017 Fall Term,78
baa26,7872,2018 Fall Term,99
apm34,8766,2017 Fall Term,90
adw43,20324,2018 Fall Term,88
amt58,18029,2018 Fall Term,75
ais31,4278,2017 Fall Term,85
ajr74,81,2018 Spring Term,80
bac16,964,2018 Fall Term,79
ajh98,5904,2017 Fall Term,77
acm94,22534,2019 Spring Term,94
alj52,16881,2018 Fall Term,76
aey11,9579,2019 Spring Term,76
aps59,9150,2017 Fall Term,95
awc27,5028,2018 Fall Term,79
asr28,16958,2017 Fall Term,83
ado23,17124,2019 Spring Term,99
acd42,15348,2019 Spring Term,79
ajr84,24410,2018 Spring Term,92
agc33,17515,2018 Fall Term,88
ach79,18963,2018 Spring Term,87
akl41,12979,2018 Fall Term,77
apa17,5903,2018 Fall Term,85
aps52,22914,2017 Fall Term,99
aam99,1410,2018 Fall Term,77
ald59,6503,2018 Spring Term,77
aam84,7019,2017 Fall Term,83
afc22,2965,2018 Fall Term,83
akd33,4422,2019 Spring Term,90
arw59,7694,2017 Fall Term,80
amj55,22505,2017 Fall Term,79
ajp82,17124,2018 Spring Term,81
ama88,3807,2019 Spring Term,91
ajc74,7975,2019 Spring Term,82
ash79,9781,2019 Spring Term,85
atr24,7872,2017 Fall Term,90
aer51,25707,2019 Spring Term,93
akp38,1853,2017 Fall Term,84
arr54,4419,2017 Fall Term,96
abl29,21534,2018 Spring Term,75
ald59,22156,2017 Fall Term,89
asc57,13594,2018 Fall Term,94
afp15,25220,2018 Fall Term,78
akd16,13857,2018 Spring Term,94
agk21,9194,2018 Spring Term,85
ajp80,22675,2017 Fall Term,81
atb28,13594,2017 Fall Term,93
ami10,25279,2018 Spring Term,76
aem81,25220,2018 Fall Term,83
aec58,21526,2019 Spring Term,81
abs53,8062,2017 Fall Term,78
akd33,8062,2019 Spring Term,80
adw54,7979,2017 Fall Term,97
amg33,20324,2019 Spring Term,75
aad30,18102,2017 Fall Term,76
asr28,9150,2018 Spring Term,99
aps44,20906,2017 Fall Term,79
arr54,3824,2019 Spring Term,93
ajw76,23034,2018 Fall Term,89
arp69,8062,2018 Spring Term,96
alr80,12571,2019 Spring Term,84
apw28,20776,2018 Fall Term,95
aln25,21080,2019 Spring Term,99
afh11,15348,2019 Spring Term,86
adp32,20138,2018 Fall Term,91
ajn24,15262,2019 Spring Term,96
afs37,5901,2018 Fall Term,78
ahf13,5026,2019 Spring Term,79
adw54,22805,2017 Fall Term,86
ach70,9781,2018 Spring Term,82
anb53,5902,2018 Fall Term,96
abs76,8048,2017 Fall Term,86
amg73,4278,2017 Fall Term,87
asb73,21143,2018 Fall Term,85
all75,23676,2017 Fall Term,98
adw63,17515,2019 Spring Term,85
aej28,5033,2017 Fall Term,76
alc91,20357,2019 Spring Term,86
adn22,23658,2017 Fall Term,78
aak42,6298,2018 Spring Term,81
adn22,6839,2018 Fall Term,82
akn13,23651,2019 Spring Term,75
aec50,25105,2018 Spring Term,89
ast30,21528,2019 Spring Term,96
aem82,23123,2017 Fall Term,83
apa20,10030,2018 Spring Term,87
ark35,18275,2018 Spring Term,92
aef37,17499,2018 Spring Term,97
arh75,13046,2018 Spring Term,98
bac33,4417,2017 Fall Term,91
alj41,23351,2017 Fall Term,80
abm48,9150,2018 Spring Term,98
agp15,19913,2018 Fall Term,83
all42,22505,2018 Spring Term,90
asy13,23520,2018 Fall Term,91
acw63,5029,2018 Spring Term,76
ajz10,6496,2018 Spring Term,99
agm57,7975,2019 Spring Term,76
afc22,23350,2019 Spring Term,99
anc54,23529,2019 Spring Term,77
ame45,7974,2017 Fall Term,77
ajp78,5826,2018 Fall Term,88
aia11,1461,2019 Spring Term,80
asb78,1853,2018 Fall Term,90
ats46,8048,2017 Fall Term,97
atf23,25659,2019 Spring Term,97
agd29,8048,2017 Fall Term,92
acm76,7019,2018 Spring Term,96
alz18,14779,2019 Spring Term,82
abm55,14447,2017 Fall Term,89
adh55,22156,2018 Fall Term,81
aam62,2586,2019 Spring Term,91
awm28,17806,2017 Fall Term,86
ask60,13594,2018 Fall Term,79
anc48,23214,2017 Fall Term,91
ask44,22156,2017 Fall Term,78
aks87,17124,2018 Fall Term,89
ach45,23540,2018 Fall Term,99
adf35,6609,2018 Spring Term,83
atf24,7019,2018 Fall Term,91
aan16,13594,2017 Fall Term,84
afk11,14770,2017 Fall Term,99
alk43,1397,2019 Spring Term,94
ast30,16955,2017 Fall Term,77
aks94,20953,2017 Fall Term,97
ach55,22156,2018 Fall Term,85
acv13,3845,2018 Spring Term,84
ajw76,23922,2018 Spring Term,96
amr81,10155,2017 Fall Term,97
aml88,7872,2018 Fall Term,82
aae21,81,2019 Spring Term,96
ant28,8062,2018 Fall Term,93
aey11,4062,2019 Spring Term,76
arh66,7692,2019 Spring Term,75
aew53,7975,2018 Spring Term,88
ajl62,20130,2018 Spring Term,87
akh11,15348,2018 Fall Term,95
aeb87,23540,2018 Fall Term,85
aam99,5028,2017 Fall Term,76
aks94,3033,2018 Spring Term,94
aks84,17428,2019 Spring Term,96
alc73,81,2019 Spring Term,85
amt43,1860,2019 Spring Term,84
aja41,4419,2018 Spring Term,90
alw97,19023,2017 Fall Term,94
alc99,513,2018 Spring Term,94
ard39,10977,2018 Spring Term,98
aem19,15262,2018 Spring Term,80
amv34,3815,2018 Spring Term,77
acn21,16221,2019 Spring Term,91
aee12,12640,2018 Spring Term,86
aey11,20188,2018 Fall Term,87
adp32,4771,2018 Fall Term,94
atb47,22675,2017 Fall Term,80
ajl83,23123,2018 Fall Term,95
ash43,5903,2018 Fall Term,84
arh86,9150,2018 Spring Term,78
atb45,7872,2017 Fall Term,90
ahf13,6875,2019 Spring Term,80
ajl73,10030,2018 Spring Term,98
asr28,13670,2018 Fall Term,82
aec41,16220,2017 Fall Term,96
arp69,20325,2018 Spring Term,84
avs26,1860,2018 Spring Term,89
ajc94,24685,2017 Fall Term,90
aem91,21852,2018 Fall Term,75
acm76,16875,2018 Fall Term,91
asr38,1854,2018 Spring Term,76
aaw38,5687,2018 Fall Term,84
aan18,5903,2018 Fall Term,77
akn18,21967,2018 Spring Term,82
ajn24,12978,2019 Spring Term,80
aef35,6840,2019 Spring Term,80
arw59,22156,2018 Fall Term,94
adc72,24135,2017 Fall Term,83
ank26,16221,2019 Spring Term,88
aem94,5030,2017 Fall Term,80
acb84,24914,2017 Fall Term,98
arh66,7019,2018 Spring Term,86
alp58,19765,2019 Spring Term,79
ano12,22918,2019 Spring Term,96
atn13,22766,2019 Spring Term,98
bad16,2586,2019 Spring Term,92
amf84,18808,2018 Spring Term,98
agp15,4417,2017 Fall Term,90
abc49,20906,2018 Fall Term,89
amf84,7019,2019 Spring Term,84
alk42,13958,2017 Fall Term,81
avs22,24656,2019 Spring Term,78
asj19,17124,2019 Spring Term,89
arl48,24578,2019 Spring Term,82
aef29,20138,2018 Fall Term,93
aam62,23876,2019 Spring Term,86
arc66,7276,2019 Spring Term,78
adb60,21366,2019 Spring Term,91
aro19,23568,2018 Fall Term,99
adg55,5718,2018 Fall Term,79
asm74,22766,2019 Spring Term,88
ami10,17911,2018 Fall Term,93
alz18,10977,2019 Spring Term,76
ajr84,14971,2017 Fall Term,93
awm27,14770,2017 Fall Term,91
asb94,4419,2017 Fall Term,82
aba32,3743,2018 Fall Term,86
abh22,4419,2018 Fall Term,95
ajj22,10020,2017 Fall Term,87
anl27,14315,2018 Spring Term,84
abf20,24825,2017 Fall Term,76
atf24,5026,2019 Spring Term,99
ank26,14970,2019 Spring Term,93
afb34,6793,2018 Spring Term,97
ahr16,5836,2018 Fall Term,77
and38,20953,2017 Fall Term,82
agp16,17124,2018 Spring Term,84
ach71,20824,2018 Fall Term,93
agm57,25188,2018 Fall Term,88
aem82,8062,2018 Spring Term,90
ajh66,7528,2017 Fall Term,79
act47,12640,2019 Spring Term,99
adw18,13956,2018 Fall Term,99
acy12,17498,2019 Spring Term,88
aaw38,19400,2017 Fall Term,96
agc33,2945,2018 Spring Term,75
aps55,4766,2018 Spring Term,77
amf80,4278,2019 Spring Term,92
acl39,22215,2018 Fall Term,80
acg59,20906,2017 Fall Term,83
akb53,5237,2017 Fall Term,97
afh11,16881,2017 Fall Term,85
ask59,23529,2019 Spring Term,87
acr36,1876,2018 Fall Term,83
adg55,20357,2019 Spring Term,77
aah41,6840,2019 Spring Term,76
aas85,3815,2019 Spring Term,96
asb84,22505,2018 Spring Term,79
apw10,1410,2017 Fall Term,96
asb81,6298,2019 Spring Term,97
aks77,24914,2018 Fall Term,90
aam79,13594,2018 Fall Term,81
ajr74,3513,2017 Fall Term,89
agh22,19765,2019 Spring Term,89
ajk67,24135,2018 Fall Term,85
atc37,5020,2017 Fall Term,97
asb89,17806,2019 Spring Term,80
ary14,22912,2017 Fall Term,86
all78,2586,2018 Spring Term,95
aew60,4925,2017 Fall Term,87
abw47,3807,2017 Fall Term,79
ajr74,17911,2019 Spring Term,97
aks79,22215,2017 Fall Term,82
asa62,19400,2017 Fall Term,80
anc52,19765,2017 Fall Term,77
anw40,24915,2018 Fall Term,86
aef29,14770,2018 Fall Term,94
akj30,7019,2017 Fall Term,99
anb65,10155,2018 Fall Term,95
arr54,17515,2018 Fall Term,75
adk34,19374,2017 Fall Term,99
agc31,19142,2018 Spring Term,80
alj47,2315,2018 Spring Term,96
ajw76,2523,2019 Spring Term,89
aac47,513,2019 Spring Term,95
abh37,9781,2019 Spring Term,84
avs28,19065,2018 Spring Term,88
abb66,20820,2019 Spring Term,82
atb45,5026,2019 Spring Term,78
aia11,5826,2018 Fall Term,96
aia10,22156,2017 Fall Term,98
acr53,14447,2017 Fall Term,84
amj60,22942,2017 Fall Term,94
agd33,5028,2018 Fall Term,86
acf35,14315,2018 Spring Term,86
acl57,1876,2018 Fall Term,84
arc66,4766,2017 Fall Term,78
bac45,16221,2017 Fall Term,79
aea47,16958,2017 Fall Term,82
ajl88,8322,2019 Spring Term,84
abs53,5026,2018 Fall Term,91
agk17,23204,2017 Fall Term,81
ask59,16220,2018 Fall Term,87
acj21,18808,2018 Fall Term,91
adj23,25105,2019 Spring Term,92
agr18,15531,2017 Fall Term,84
aat18,9781,2018 Fall Term,92
act47,3740,2018 Fall Term,97
aad30,20797,2017 Fall Term,95
ahh26,5026,2018 Fall Term,77
